#{"t_start": 1784427799.554893, "env_id": "None"}
r,l,t
-467.602043,263,8.513097
-396.886796,222,8.787216
-176.64168,228,9.0614
-517.065296,269,9.340712
-601.083309,303,9.702847
-146.270185,198,9.95786
-164.276909,237,10.441016
-273.326496,313,10.830601
-670.773242,320,11.366405
-511.224385,287,11.804111
-367.123892,212,12.057708
-538.862225,278,12.519111
-581.783444,313,12.892545
-680.876129,320,13.301819
-327.146179,210,13.622252
-476.460769,271,14.046962
-466.819159,246,14.398711
-444.041116,238,14.671225
-529.247506,279,15.204839
-708.509388,320,23.313294
-309.200429,320,29.488124
-654.722377,320,36.940939
-590.435215,320,44.241706
-234.70529,320,51.77658
-550.211766,320,59.091614
-499.985888,320,66.2061
-508.028093,320,73.413889
-481.910505,320,80.696033
-314.007667,269,87.215767
-335.861614,304,94.122169
-31.329381,217,99.091536
-320.04486,276,105.616107
-467.692968,320,112.933521
-349.885319,291,119.942309
37.85718,173,123.844443
-381.647608,316,136.343547
-340.175578,282,142.88114
-464.691472,320,150.458519
-153.274185,194,154.690305
-301.23924,252,160.694425
-233.124245,217,165.603904
-239.426956,216,170.547462
-210.487204,193,175.136949
-0.016465,208,179.847045
-229.846504,245,185.223419
-255.592219,212,190.09482
-196.131438,194,194.619033
26.308989,199,199.12467
-277.729777,265,205.475492
-220.074984,207,210.378159
-220.56481,206,216.524466
-162.76975,178,220.758046
-206.184461,193,225.250817
-263.396772,267,233.025576
-291.239416,240,239.131307
-250.49911,221,244.399483
-272.470675,287,250.354456
-201.63765,218,255.082105
-208.601015,221,259.77409
-29.448434,209,264.249391
-230.29362,206,268.981124
-127.04028,200,273.373028
-289.391008,257,279.062025
-263.30943,247,284.695762
-163.407817,244,290.468309
-251.178013,251,296.456387
-182.261157,245,301.651954
-189.945757,191,305.764717
-101.247294,197,309.850308
-201.393109,243,314.766832
-11.662534,194,318.637722
-303.695924,287,324.638197
-417.088,303,331.294592
-251.147188,241,336.260927
-228.162553,199,340.2685
-221.087673,270,345.721156
-245.585398,262,351.026942
-160.364985,204,355.496321
-144.570487,179,360.626011
-160.186883,203,369.538065
32.422975,192,373.908322
-176.788502,206,378.120807
-181.454953,206,382.128247
-230.161899,297,389.671429
47.461375,177,393.569977
36.309378,201,398.557532
57.72028,166,403.224718
-197.270697,218,409.689007
-219.36351,247,416.09399
-231.949656,246,422.379104
12.109054,215,427.280783
-167.12277,227,432.85033
-201.148928,231,438.440135
-193.127836,227,443.988366
-212.265554,226,450.272403
-82.552112,193,454.841718
-133.854969,233,460.397875
-195.571182,230,465.96801
-213.538335,248,471.79956
-168.393428,192,477.069812
-186.067107,209,482.347307
-172.25686,213,487.486232
-99.485236,222,492.861653
-70.754983,237,499.07887
-132.739929,228,505.168796
-234.922986,268,512.140558
-126.527294,215,517.402708
52.895826,149,521.084607
77.958035,116,523.914543
-200.715917,217,529.333075
-149.573923,260,536.022541
-153.61696,220,541.594591
-148.013042,199,547.099384
-170.291821,250,553.661508
-137.377125,225,559.272085
53.461005,149,562.986337
-144.808535,230,569.115793
-254.55579,195,574.030662
-201.626869,209,579.22137
-242.075345,245,585.424176
-208.945768,260,591.953235
-70.42209,195,597.108058
-194.153933,274,604.122931
-178.327012,210,609.408221
-40.81991,217,614.983229
-51.207929,204,625.138521
-171.556642,181,629.766519
-109.57424,237,634.523585
-119.087573,225,639.465724
-159.006393,246,645.447015
-74.747556,208,650.558742
81.972332,107,653.170795
-10.189241,192,658.016712
3.138981,165,661.899372
-166.218317,245,667.855843
-102.08911,168,672.105552
-219.989736,311,679.79572
-331.27619,274,686.548097
-91.757564,215,691.956902
-102.645118,245,697.877193
-217.818928,261,704.269515
-153.647795,214,709.627891
-86.059102,222,715.374859
-50.116208,222,720.824043
-189.595727,229,726.646693
-192.728978,289,733.629703
-179.637414,231,739.350948
-158.072978,221,745.125236
-205.533814,227,750.952235
-59.541409,222,756.063698
-47.100545,190,760.138426
-232.561044,320,767.093642
78.872238,110,769.469693
-124.435469,271,775.76703
13.692048,160,779.312563
-134.237031,209,783.88659
-97.12258,208,788.482935
16.16167,168,792.121047
-236.920575,250,797.661459
-126.786571,225,802.676168
-205.281705,209,807.651661
-192.268622,238,812.777047
-197.139127,211,817.623483
-12.572818,199,822.247274
72.414245,112,824.804516
-60.104336,209,829.472355
53.652766,132,832.338099
66.22974,127,835.539263
-220.193023,239,840.821545
-72.46676,249,846.338091
-114.269895,178,850.30945
-58.278634,208,854.950528
84.998873,112,861.776827
70.851609,115,864.715304
72.67009,118,867.831286
-170.15019,236,872.900601
-208.257058,268,878.619638
-188.768809,204,883.646701
-162.972098,206,888.757134
-144.051148,226,894.346987
77.060454,114,897.617988
-222.990728,212,902.941788
62.928162,133,906.142239
-58.366943,219,911.451283
62.58576,148,915.014426
-48.843331,225,920.517721
-101.054883,267,927.250069
-196.143789,259,933.657115
-79.283588,231,939.270426
71.339782,121,942.241163
-126.214748,227,947.926934
-154.897817,275,954.758547
-77.313975,226,960.530418
-95.749956,245,966.640742
-42.966429,185,971.129349
-220.683834,250,977.208637
-68.319589,199,981.82585
-169.228639,266,988.056488
-148.036316,231,993.332048
-73.602466,185,997.53696
-82.992392,226,1002.702091
-102.375566,209,1007.530629
-48.418153,185,1011.668887
66.565815,134,1014.71206
-91.377417,190,1019.339761
-126.662429,198,1023.637492
-186.863037,215,1028.478935
79.182625,117,1030.947739
-6.98624,188,1035.163495
-87.739185,234,1040.532073
-64.273651,269,1047.360561
-217.386199,205,1052.214361
-186.36413,219,1057.16717
-83.146753,291,1063.73462
58.95795,146,1067.602429
-151.38868,252,1075.710398
-182.58317,296,1084.572
-193.776703,230,1090.938235
-246.035923,219,1096.507453
-111.118742,192,1101.112434
-153.985733,251,1112.449878
-89.719542,209,1118.221844
84.320129,109,1121.168651
-129.051603,171,1125.221083
-256.57088,319,1133.193215
-131.979477,183,1138.305113
-124.518674,249,1144.361051
29.544868,157,1148.325241
-187.532011,191,1153.55088
-92.434106,223,1159.492679
-145.449536,212,1165.024134
-131.556263,242,1171.472793
-173.894347,219,1177.027337
60.675658,133,1180.159746
-197.273326,289,1187.505928
-218.111814,250,1193.817238
54.725307,150,1197.841545
-151.740709,196,1202.795849
27.513697,173,1207.164884
-148.799962,305,1214.607404
-46.273419,195,1219.625694
40.973396,149,1223.30062
-66.458994,208,1228.791926
91.217674,106,1231.372352
-159.365628,186,1236.012886
-26.120595,170,1240.247104
-82.297897,229,1245.942814
-87.611619,208,1250.937054
-103.454007,179,1255.301353
-66.816527,222,1260.438628
22.242461,161,1264.027812
-98.40119,172,1267.941206
-5.003406,170,1271.728769
65.346139,123,1274.611751
-53.551215,202,1279.260357
12.293681,166,1283.03968
4.775033,157,1287.022667
79.210146,111,1289.530482
-190.021731,226,1294.670784
-189.574546,267,1301.845685
-181.342994,234,1308.003964
-51.829562,247,1314.572122
-172.258036,259,1320.787311
-143.436805,184,1324.847004
-133.88473,195,1329.240053
-100.126094,253,1334.698468
-90.131269,267,1340.584569
-153.26196,267,1346.656527
-28.302317,211,1351.168875
27.404549,157,1354.612357
75.931625,112,1361.592735
-63.692385,265,1368.356408
-97.133263,233,1373.770715
-96.955367,259,1379.167187
76.566347,113,1381.907122
-109.575099,293,1388.737705
-132.814925,227,1394.199632
-120.080101,179,1398.531364
-75.666077,176,1402.699277
-76.132837,255,1409.227235
-143.565627,265,1415.601602
-45.33591,229,1421.303192
70.611219,120,1424.228884
13.328988,171,1428.419
80.022478,110,1431.183421
71.732442,121,1434.110519
-148.532403,228,1439.930552
-89.707798,199,1444.752258
-38.483809,184,1449.223006
-249.744518,250,1454.871668
-174.497157,275,1460.986597
-162.021463,208,1465.729088
-49.716394,218,1471.210922
-156.240558,207,1476.19882
-15.549015,182,1480.454521
-70.710914,277,1487.159379
74.351651,113,1489.816238
-80.913839,250,1495.977437
-112.741958,197,1500.987414
-250.641944,288,1507.624655
-177.273978,242,1512.704545
-174.25385,259,1518.320879
-34.416389,211,1522.869126
-179.610553,190,1527.42031
-104.879738,189,1531.575244
-60.61742,249,1536.957242
-146.833967,221,1541.690095
-171.817959,245,1546.943938
62.175344,161,1550.359195
-121.434968,216,1555.19636
67.936957,124,1558.093048
-163.166271,177,1561.986207
91.351851,106,1564.150492
-180.676056,195,1568.343692
82.57371,107,1570.539092
-107.411377,221,1575.45386
-156.990772,320,1582.598615
-73.820582,250,1588.426335
-180.948785,191,1597.055677
-223.94835,260,1603.521526
-68.978909,232,1609.373539
-49.200624,273,1614.361896
-20.567872,209,1619.767247
-106.490225,250,1625.884236
15.705479,164,1630.006935
-194.069894,266,1636.535539
-208.638039,226,1642.130823
-85.592655,225,1647.847857
91.749317,105,1650.50311
-84.903245,254,1656.553938
-161.564744,219,1662.008515
73.92927,112,1664.733271
-181.049644,228,1670.548959
-20.940154,187,1675.268741
-31.274881,195,1679.950232
-44.798307,233,1685.589485
-29.200349,200,1690.225513
-26.727856,196,1694.662041
-160.87902,313,1701.325507
62.673673,127,1704.288474
-191.201309,229,1709.655289
-180.742184,209,1714.214622
-225.248554,292,1720.628521
-101.358603,218,1725.428884
-62.173081,197,1729.696049
-90.284422,259,1735.475949
26.023139,160,1738.908046
-215.718373,272,1745.230742
-37.61226,228,1750.893372
-198.012374,228,1756.545681
-151.757416,234,1762.063818
-280.457559,320,1770.126369
-129.510083,236,1775.724039
-202.112608,266,1782.312476
-158.856448,230,1788.161611
-179.052088,268,1795.170949
-152.838487,221,1801.157764
78.978541,111,1803.936327
-168.111133,285,1811.3698
-144.832685,203,1816.894262
-157.106402,219,1822.464232
-131.12327,225,1828.528569
-92.265485,226,1834.310803
-169.678504,246,1845.840564
-148.997304,191,1850.67135
-113.705831,296,1858.16733
-52.888804,231,1862.849889
-135.504265,228,1868.800528
-128.378983,230,1874.935795
-15.283066,197,1880.010976
68.791619,120,1882.790189
-214.521601,249,1889.000386
-10.720178,175,1893.382959
-81.631797,188,1898.094223
13.050911,169,1902.302969
-27.971364,197,1907.199442
-120.547538,203,1911.920551
-41.589793,216,1917.496081
-175.208221,279,1924.28094
69.601367,118,1927.054758
-83.624862,257,1933.221114
-154.55005,198,1937.586034
77.998265,114,1940.343052
