timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-222.74669841851573,114.13667622491914,125.875,46.625,4.251019870851132
20000,-197.1516859638068,100.19362685392235,107.6875,14.25,3.544758133359537
30000,-204.76815506078492,39.08013811982978,47.625,0.125,2.8616956770420074
40000,-96.35924277867889,78.68136280693415,79.6875,5.625,3.1157567794077003
50000,-13.008649834657263,94.16411048090197,84.875,9.5,4.588661691112307
60000,-137.29052705684808,72.09983931758653,72.3125,3.125,3.0716810308917992
70000,-92.10026178314001,69.16994165775525,75.4375,4.375,2.637508675456047
80000,-60.97896646657682,94.37772063144321,110.5625,2.0,2.992532284431902
90000,-71.03585819275759,99.82290306669532,107.375,1.75,2.916116185724185
100000,-14.286077554093936,75.50641271566201,77.5625,1.5,2.9706123103608038
110000,-100.97808618732961,80.21495073598595,103.1875,1.375,2.7520562603173535
120000,-77.24183126739081,101.35222122770571,116.8125,4.375,3.118802135981202
130000,-98.11903655555943,88.65073957235293,107.8125,0.375,2.8275569011982773
140000,-62.050551493651255,98.13053236287209,104.875,2.375,2.896402499646195
150000,-10.241899038643169,86.22526207926617,93.125,4.375,3.062714193237312
160000,-88.88517301863612,107.45998360349027,122.5,0.125,2.9375259280204773
170000,-25.602606153973284,95.05686513876532,98.3125,2.125,2.9720516829383605
180000,-22.061285105519346,87.02195225544996,99.75,0.375,2.3799112750017812
190000,-47.533962584046094,86.83677778692895,96.9375,5.875,2.6902524716563008
200000,-92.87572912802534,87.25428559686347,108.9375,3.0,2.8248116956460976
210000,-74.50590772557189,95.03249906355563,115.625,1.5,2.778301924467087
220000,-85.12018172831085,90.83326097746115,118.25,0.25,2.8242025822401047
230000,-28.76302768458845,87.80930755960722,97.875,7.375,3.0205957317208174
240000,-37.538443169418315,79.44994818015155,92.9375,5.75,2.757103795235736
250000,1.5809922552543867,82.78278555637448,91.125,3.375,2.8528723313020254
260000,-19.05267553961312,89.10331887496882,95.1875,4.25,3.17377262923379
270000,-27.027968978840363,88.7399632605648,99.5,2.25,2.7803440395646453
280000,-31.66080389102899,98.23210418754755,114.1875,2.375,2.9288858473300934
290000,-44.848325274950184,95.28336140634731,111.4375,2.375,2.766907622878537
300000,-9.662443496810738,83.62773915845588,96.4375,2.25,2.794354792828953
310000,-43.42923667210562,80.94067482244219,89.5,4.25,3.135648958162026
320000,-37.097042804463854,93.1657510461759,102.125,10.25,3.3047457337379456
330000,3.2505073148058727,85.79160508050316,106.8125,3.375,2.932545160195117
340000,-31.144016485780412,84.9391694473596,99.3125,0.0,2.739633804353348
350000,-3.213770714974089,87.87312296550326,104.5625,0.875,3.122737480476811
360000,-37.44476402861619,85.22020603028652,99.25,1.125,3.0134692343729164
370000,-37.71601243960322,91.68998464227975,115.8125,1.875,3.213490034038813
380000,-22.807045636772727,94.51312475447921,112.3125,1.5,2.9896257519721985
390000,13.748909960948367,79.84821532763033,95.75,2.25,2.779450787876197
400000,19.29923884212201,79.69772134340253,91.75,2.25,2.5447269543038864
