#{"t_start": 1783876858.8035107, "env_id": "None"}
r,l,t
-233.345693,44,3.498437
-379.438239,131,3.594185
-10.030871,151,3.705492
-371.944675,114,3.777802
-209.869833,24,3.794819
-267.672864,55,3.832632
-314.96549,245,4.001521
-352.549517,120,4.073467
-204.795663,6,4.078035
-253.041253,100,4.135154
-444.593927,153,4.223744
-211.414936,11,4.229857
-221.349617,20,4.241777
-310.89525,229,4.373666
-92.134432,201,4.478466
-203.951021,6,4.482006
-209.298414,4,4.484623
-181.344815,308,4.652575
-219.270937,23,4.665783
-415.952723,271,4.820105
-340.876371,230,4.952336
-219.33903,16,4.961303
-216.191679,15,4.969994
-198.242477,7,4.973614
-211.352173,20,4.984265
-417.524809,141,5.059023
-247.892487,36,5.077799
-405.284164,140,5.149558
-217.605551,26,5.166687
-216.622525,8,5.172368
-210.254691,63,5.213203
-426.498319,152,5.306821
-203.174489,7,5.31287
-425.672902,134,5.412796
-198.322644,9,5.41922
-232.45238,82,5.475972
-418.936327,262,5.63927
-210.608347,21,5.651881
-415.232584,141,5.73529
-212.286773,7,5.739312
-62.299246,216,5.856062
-210.855165,9,5.862807
-211.29451,18,5.872528
-247.302711,98,5.917543
-382.628789,114,5.974388
-284.18834,75,6.012354
-200.867409,4,6.014336
-206.44993,7,6.017736
-214.127552,8,6.022567
-245.581075,60,6.0501
-214.618254,16,6.057652
-211.588467,15,6.064594
-244.457913,39,6.084175
-254.149808,32,6.102376
-43.894268,172,6.182798
-21.116166,178,6.292182
-214.065546,15,6.301697
-488.78807,310,8.569658
-347.762545,320,15.477374
-546.397255,320,22.701311
-558.980426,320,28.936161
-294.968594,320,36.326535
-533.281535,320,42.461111
-380.008437,286,48.929758
-252.51796,320,55.255061
-314.793069,250,60.046858
-303.416122,247,64.935389
-29.924753,203,68.86985
-327.3742,275,74.637062
-15.680751,186,78.173681
-300.126415,280,84.099536
-395.920827,316,90.101015
-334.904795,286,95.668601
-201.488549,10,95.86026
-492.947129,280,101.301785
-99.945214,287,107.578991
-271.806975,272,117.87378
-265.56628,277,124.314811
-95.121363,292,131.298925
-274.686137,320,138.33629
-204.447933,244,145.324147
-199.289633,229,151.418422
-111.803188,208,156.492362
-203.019735,223,161.561126
-386.799063,194,166.045774
-171.552778,206,171.64415
-169.620304,207,176.264735
-308.526304,320,182.624982
-232.605092,239,187.670327
-204.781374,225,192.802284
-150.979319,198,197.0778
-383.675702,320,205.030024
-264.193054,265,211.16821
-171.454822,207,215.731074
-220.292729,208,220.03672
-150.137324,189,223.969885
-168.818718,195,227.846819
-387.403184,320,235.592242
-245.384457,221,240.271585
-419.147025,176,243.84701
-254.425872,244,248.528156
-270.905889,237,253.156261
-233.176114,214,257.283591
-334.674321,279,263.055877
-323.433605,320,269.490541
-268.03962,255,274.615565
-165.024521,201,278.396307
-249.867721,263,283.37956
-260.850635,261,288.412256
-195.989652,210,292.817369
-71.465574,295,299.237747
-335.346476,285,305.928378
-10.813146,230,312.127974
-293.364341,268,318.968542
-159.893658,219,324.602782
-330.679821,130,327.773024
-334.844482,280,333.359939
-238.287565,247,342.465335
-351.41438,313,350.614366
-328.35178,296,357.696775
-1.196733,206,363.046368
-146.198679,209,368.454123
-268.865162,276,374.581829
-215.517837,250,380.017218
-192.872687,237,384.664488
-276.997962,91,386.37704
-180.753299,234,390.85846
-155.859291,226,395.071221
32.10362,200,399.057065
-183.664301,236,403.685161
58.974687,163,406.756351
-223.211821,71,408.167184
-196.900808,237,414.207052
-278.648262,263,419.855605
-275.639676,262,425.766892
-292.297206,127,428.600244
-156.879249,212,432.745792
-40.705415,177,436.27882
-201.422081,75,437.760423
-290.464669,151,441.026558
71.570046,141,444.287662
-95.263391,192,447.890259
-219.125156,36,448.61748
-176.985976,53,449.697113
-209.049645,62,450.866674
-246.649824,107,452.892165
66.85981,121,455.158767
-230.628632,88,456.828563
-123.744721,245,461.589427
-137.015855,260,466.690967
-200.497689,13,466.941471
-292.889184,170,470.870872
-157.495973,241,475.875353
-203.627012,21,476.269515
-198.654186,70,477.576091
-209.628374,80,479.079374
-256.868332,128,481.432137
-223.59445,52,482.449996
-224.37306,105,484.475666
-129.248187,227,488.835551
-155.811284,230,493.244932
-157.132383,247,498.099898
-127.313308,241,503.304194
-222.558922,105,505.467124
-193.399859,50,506.455103
-180.74161,241,511.144857
-217.765176,80,512.71008
-86.047471,233,517.504376
-110.39849,202,522.143021
-353.303985,220,526.287879
-121.347105,244,531.32022
48.249644,138,533.932657
-217.901727,63,535.159457
83.831187,134,537.717828
88.058803,125,540.075633
-104.439993,209,544.076337
83.907102,130,546.565706
-146.116592,223,552.511975
-160.243283,231,556.776804
-137.889732,284,562.375407
82.312129,140,565.104837
-237.391515,84,566.844051
91.030485,114,569.014249
-290.6625,164,572.120978
-266.2186,189,575.928981
-33.183169,185,579.408345
-338.560325,217,583.389006
-276.285633,128,585.911091
-233.846773,73,587.537839
91.418626,111,590.545661
-273.840084,107,592.979534
-72.730436,169,597.000193
-218.952169,94,599.066348
97.814394,114,601.615696
-24.463884,159,605.455818
96.921389,111,608.65833
-190.436315,54,609.83884
-269.381979,141,612.872204
-243.282974,258,618.749098
94.39033,112,621.720055
-126.411572,205,626.648189
-104.470767,202,630.99585
-175.42943,252,636.57733
-230.431937,100,638.834102
94.377527,111,641.20135
63.553441,124,643.930111
-229.70741,82,645.821662
-159.904202,256,652.177893
95.689353,116,654.702603
-214.210641,60,656.069169
-214.872275,49,657.112063
-87.848955,214,661.865268
-213.420008,104,663.922808
-83.322925,206,667.678907
-207.463775,58,668.748575
61.259812,127,671.030547
96.320292,113,673.107028
-175.870878,248,677.625304
-321.813437,176,681.216015
-88.763271,216,685.674092
-70.230193,221,690.003351
-106.604663,216,694.358955
-201.485399,297,700.235969
-313.755163,147,703.021963
-85.932151,197,706.741868
-119.145988,207,711.055234
-193.519172,34,711.692034
-121.410963,199,715.372536
-50.776454,203,719.397928
-207.594415,302,725.218964
-193.839364,44,726.032929
-140.34371,249,731.021818
-218.392207,269,736.124207
105.73745,105,738.065456
-208.671225,87,739.882828
