#{"t_start": 1784298491.3952901, "env_id": "None"}
r,l,t
-467.602043,263,4.075097
-396.886796,222,4.214029
-176.64168,228,4.331776
-517.065296,269,4.514453
-601.083309,303,4.713289
-146.270185,198,4.810386
-164.276909,237,4.928124
-273.326496,313,5.093637
-670.773242,320,5.307361
-511.224385,287,5.495382
-367.123892,212,5.644313
-538.862225,278,5.821045
-581.783444,313,6.029814
-680.876129,320,6.231954
-327.146179,210,6.375637
-476.460769,271,6.55023
-466.819159,246,6.714988
-444.041116,238,6.870313
-529.236849,279,7.209992
-708.374365,320,11.72046
-310.493737,320,16.649407
-656.45994,320,23.274837
-588.042063,320,30.137901
-233.993574,320,36.148815
-551.79242,320,41.934256
-481.848848,320,49.261612
-511.98568,320,54.74655
-479.438949,320,60.131799
-319.175657,273,64.587661
-471.610951,320,70.597483
-279.323684,255,75.805287
-407.605424,320,81.46783
-446.441392,320,88.846573
-339.357546,304,95.003216
-342.156524,297,101.166109
-340.262354,279,111.412491
-339.136452,273,116.315494
-244.618468,259,123.759461
-297.50036,236,128.788424
25.201335,172,132.038524
-253.180792,225,135.989137
-242.997912,228,140.519507
-257.497081,259,145.547187
-311.220863,266,151.270732
82.880296,106,153.276274
-203.606591,196,157.186818
-230.443544,233,161.449342
-327.414195,271,166.565613
-263.76878,235,171.251686
-37.557928,221,174.7154
-165.832888,187,178.231295
-207.200921,231,182.348711
-259.709196,232,186.510704
-262.35817,242,190.747953
-300.38738,246,195.578478
-260.328615,263,199.842685
-249.468878,240,204.142344
-171.826423,218,208.315051
-141.448894,198,211.514885
-167.938067,214,214.776864
-218.073117,229,218.196358
83.270946,112,219.837245
-194.382024,234,223.549158
-276.396694,253,227.493247
-136.499528,243,231.229894
-222.045787,264,235.122103
-230.491948,216,238.660495
-188.067151,243,242.308467
-278.268994,253,246.221047
-208.409497,179,249.281077
-209.217924,285,253.887021
-247.433805,251,257.867185
-154.17615,199,260.782311
-256.389906,266,264.763408
-262.577192,245,268.698025
-207.8362,233,272.271686
-151.8863,184,275.395614
-270.096139,227,279.638117
-144.495082,183,285.689884
-258.024957,210,289.175482
0.20388,157,291.891678
-232.697966,298,296.989908
32.264379,128,299.771549
-313.056429,265,304.758112
-236.7842,255,309.164485
-145.651494,189,312.041508
-184.686207,208,315.157412
3.757065,156,317.525837
-223.362779,222,321.287789
-197.410966,222,325.689604
17.479394,131,328.040573
-196.970752,213,331.451086
-189.845519,207,334.611952
13.637452,144,336.825515
-163.257336,214,339.985646
1.313652,144,342.083746
-199.971161,234,345.600098
51.763439,119,347.400537
-194.352593,228,351.080321
47.373775,116,352.792477
-100.332462,200,355.940914
73.195025,117,357.711241
-216.276099,233,361.519847
-197.191618,229,364.915442
83.368332,106,366.475003
-214.472833,236,370.004064
-190.698003,232,373.446113
-223.843392,254,377.22722
-161.446315,216,380.437508
11.635772,136,382.412014
78.552573,110,384.055989
-171.909967,211,387.164044
-141.488826,216,390.743652
-154.100014,231,394.162915
-172.649982,206,397.243067
-198.010243,288,401.483965
-209.293961,229,404.865601
27.103895,140,406.953692
-178.318074,229,410.361344
-150.854721,188,413.225809
-133.254085,198,416.224475
-126.787873,237,420.114106
-132.238143,215,423.544279
-188.142565,224,426.965188
-158.472296,257,431.004483
-87.325696,195,434.224549
80.122093,111,435.993424
-210.957028,220,439.589945
-170.517751,227,443.277254
-212.086679,188,449.630008
-223.807751,266,454.272671
80.092399,110,456.35301
-2.695728,156,459.375078
-182.431943,225,463.266906
-192.838343,253,467.850221
-155.951403,252,472.181277
20.515033,130,474.377131
-243.624823,260,478.932339
-214.461477,229,483.298542
-192.63008,303,488.673894
-200.278909,239,492.778504
-130.551199,214,497.669298
-216.255919,204,502.124093
-209.752508,291,507.354416
-200.104414,231,511.665364
76.905717,106,513.391369
-167.685181,206,516.791296
-84.253943,159,519.772642
-72.232206,177,522.691757
57.499238,135,524.909757
58.154242,123,526.929655
-232.57424,250,532.091689
-204.234998,284,537.034725
-187.660368,215,540.889966
-191.583093,194,544.03175
-112.443561,198,547.364692
-93.461853,217,550.926541
25.276936,136,553.117814
-10.572985,154,555.617017
-117.398517,210,559.029633
-122.794001,228,562.797522
-170.8775,276,567.472039
-130.394584,212,571.643512
-161.88848,207,575.280574
-141.146061,256,579.477883
-66.03161,225,583.134659
-133.809811,186,586.138906
-35.686529,215,589.644304
-137.8682,207,593.01757
-187.157744,216,596.561768
68.36259,117,598.717746
-58.069636,210,602.250436
59.847496,131,604.391556
24.486682,133,606.544322
-159.474997,237,610.382156
-92.789042,248,614.365005
-118.856058,182,617.324599
-171.876342,213,620.773153
52.114899,111,625.741212
73.420105,119,627.647257
-158.457795,239,631.98139
-131.755194,265,636.292746
-171.013805,191,639.397447
-30.933908,199,642.658577
-92.29347,235,646.45436
66.554672,108,648.276966
-184.300887,202,651.60744
-178.276576,243,655.566438
-162.51601,289,660.595878
-117.824419,222,664.212043
-111.532831,257,668.690874
-189.448116,260,673.194015
48.511563,123,675.175488
-28.915108,210,678.637773
37.906413,143,680.925885
-142.930215,273,685.481657
-216.508318,230,689.668891
-75.673186,218,693.362811
-192.955249,246,697.517493
-182.900782,256,701.995637
-72.15059,197,705.219427
-124.612465,257,709.387124
-120.664131,236,1953.59513
-53.17372,185,1974.715157
-74.823533,227,1988.700418
-135.674496,223,1998.073166
-164.287076,196,2004.585803
-108.688514,187,2010.622807
-89.352611,227,2017.425364
-136.67728,186,2022.859295
-183.565306,227,2028.790525
-96.53679,228,2034.551703
-138.716986,270,2041.143117
-1.277377,162,2046.51797
-103.37799,201,2052.374433
65.799829,119,2054.931636
