timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-193.73606228079734,84.53191401484942,116.875,14.25,8.71656545996666
20000,-118.01454896289215,82.99530775773766,102.6875,11.875,8.012303903698921
30000,-131.0141396067047,82.12197536998711,111.1875,11.75,8.761232171134424
40000,-81.08617107583996,91.96925466286882,106.6875,3.875,9.168371111291151
50000,-95.99674416978087,83.41164245115701,109.1875,9.75,7.582072941600664
60000,-69.04387293311493,81.03283355552105,108.375,2.25,7.824466332793236
70000,-3.8600327329841093,74.53309463953,87.4375,1.875,5.854584404752597
80000,-52.57831600615464,83.86314494319248,110.8125,4.0,7.3940440863370895
90000,-67.86130315157061,86.54584104096149,105.0625,14.75,5.1987485809666385
100000,-86.86363845283404,87.8392026727748,110.5,8.875,7.056348019844506
110000,-84.52973205196031,82.65274504300113,105.625,15.75,7.6151427030563354
120000,-63.096872196896584,76.70072978590257,97.625,4.0,5.8958756029605865
130000,8.227581727682264,69.9388360926443,88.5625,2.25,5.246823615394289
140000,-98.83074020729691,84.93761549523768,105.0625,8.625,7.998966604471207
150000,-60.78961626533419,85.86722575061177,103.5,0.75,7.354943141341209
160000,-60.07491386257789,81.67052277702803,113.5,1.875,6.815124601785171
170000,-102.88936929330521,89.097682208924,108.125,13.0,8.283619597554207
180000,-53.39622637453067,78.63114251851133,96.375,11.875,6.537184355889206
190000,-91.99262393155732,84.36831312363995,114.5,5.875,8.262709483504295
200000,-45.53438441886101,81.95571558764206,102.25,6.875,6.2159692694801905
210000,-43.65317534278438,79.74328683595309,100.25,5.875,5.884585773147259
220000,-100.1860258154461,90.95162447700207,122.4375,10.375,7.470601250217907
230000,-82.01228736793564,81.90174541753143,110.875,11.125,7.426084712779081
240000,-29.664656875902438,73.07969897522892,99.5625,3.25,4.601633567384946
250000,-44.489328700632655,77.43047291154734,103.375,5.875,6.351547388593979
260000,-65.00176170521445,76.09099997465012,103.4375,7.625,6.399949701747036
270000,-16.96080628294294,73.9623991653292,94.1875,1.125,5.842813558530441
280000,-16.509156015410554,77.72581027149735,106.3125,3.0,6.27288818359375
290000,-108.35779742449813,94.09060690595383,130.875,10.625,8.479691037760198
300000,-42.36715270212244,78.2325543539202,94.875,10.375,6.15073389230885
310000,-26.37574832700193,72.98362266465115,93.6875,10.125,5.491368755698204
320000,-14.649978323664982,72.14713547066154,96.6875,1.75,5.830051294180885
330000,-41.36160290460248,78.50120276306686,108.5,5.5,5.5774476560939625
340000,-71.62364042035188,86.93178973236655,120.6875,3.125,6.087470985150922
350000,-84.46231655190877,83.50710967168264,115.375,11.5,6.712324723601341
360000,-41.399587212799815,75.36828947308445,105.6875,3.875,7.17550399039945
370000,-41.7943332914474,77.73683862451676,109.4375,1.25,6.272115422849595
380000,-27.997368514495975,77.57696704789694,106.375,0.75,5.591749956684076
390000,-50.45574896917242,82.91466131866656,113.375,2.125,6.623788734577024
400000,-44.092086020194984,79.80777340962084,107.3125,3.875,6.043337686985841
410000,-32.092491238035564,77.0837415558889,107.125,4.0,5.250425040530707
420000,-7.249770132882986,66.56774253376204,95.5625,7.25,4.293599833775852
430000,-40.982842528348556,79.824878259343,112.625,2.75,4.762324077103605
440000,-99.5238031599747,89.37448112830872,110.75,12.625,7.5351173877716064
450000,0.49909865031804657,66.18014813533526,87.5625,5.875,5.393904665657239
460000,-63.73507033180067,84.02014883528697,110.625,9.5,5.9259760634170435
470000,-36.20129097815516,75.34139524374714,103.1875,4.375,5.852276365407038
480000,-28.88975778692111,80.26927199578091,110.8125,3.625,5.648112830290871
490000,-56.512456940829,80.07792451713973,104.875,8.75,5.798713758587837
500000,-57.43586476688051,79.65260610679394,107.8125,8.375,6.1181691491011225
510000,-47.634584460298356,82.56063440987262,102.625,5.875,4.397337012524569
520000,-38.02223488083109,79.27507338670102,110.125,6.375,4.80592624242346
530000,-61.429690403236236,85.18343086627212,113.75,3.75,5.969054341316223
540000,-73.2545108486047,82.03534408722498,111.625,10.875,6.005902111530304
550000,-50.88943089408713,77.3815522469067,102.0625,5.875,5.00135977120939
560000,-46.54350782857182,77.05780867489257,111.1875,4.75,6.039994556603876
570000,-95.23205014043924,86.82514241841851,119.4375,4.75,7.0875469744205475
580000,-48.02811641457811,80.55167099771384,105.375,2.875,5.598335336912877
590000,-68.1843636038684,79.9840670121484,120.9375,7.0,5.434791794956307
600000,-27.923613854698488,72.35098588686203,94.3125,5.75,4.550122284092597
610000,-68.41329835464603,79.62156811320601,115.0,7.0,5.484634131882119
620000,-60.11192148526425,77.17294437974867,107.8125,6.0,6.0937166791233075
630000,-48.56865565848784,77.44471600382356,102.0625,11.75,4.322693783578697
640000,-22.685305303930363,74.72662706446276,103.9375,3.625,4.72489112210127
650000,-112.78763020697806,84.65231622994574,117.0625,7.125,6.9444028065726275
660000,-29.62130183467525,74.47536070239602,97.0,2.625,3.5612709577641155
670000,-13.089765434280707,71.23310079500263,96.5625,4.75,4.8203608095645905
680000,-32.78101551267173,75.74571390287448,103.125,1.75,4.872554977986474
690000,-56.7415817075489,79.30590773682255,115.3125,8.75,6.850220426917076
700000,-28.513730519356614,77.18487196751218,98.875,7.5,5.275530366484812
