timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-349.2451841860602,127.04938103468061,124.0,22.75,8.631124706836554
20000,-437.98446569842054,127.7979417190248,144.875,64.25,9.671750500798225
30000,-231.24671351451252,86.82342489847798,76.75,15.875,6.307403141279282
40000,-330.55299669843953,102.1977689795857,124.75,39.375,6.894375002210953
50000,-293.506314607308,101.66096399844587,117.4375,45.375,6.382517522231974
60000,-210.96216889895732,93.15302209953508,110.3125,21.875,6.3028005347872265
70000,-291.35882543527987,101.88526402995541,128.375,43.0,7.785585882163703
80000,-124.33381678373553,93.98412055935569,99.125,23.125,7.818055995883894
90000,-256.68871157377725,87.40243752119987,123.75,27.25,6.676023782228095
100000,-122.18046195117495,89.12775194342684,92.5625,20.125,6.962978520698952
110000,-240.55642696450104,86.12962342393634,118.5625,26.25,6.430457412469582
120000,-214.1014215261457,88.97964527320728,114.9375,22.375,5.1759861166205825
130000,-169.0954692670275,89.24623871904276,111.25,20.75,4.957292254195968
140000,-231.17528766777832,97.72039169208092,120.75,24.0,6.589131847023964
150000,-195.35857199944894,99.43875184375028,114.9375,24.875,6.038766655879371
160000,-191.50600934975955,91.21861759675224,117.6875,27.875,6.330343150146258
170000,-222.86928602549597,92.10918552601132,124.8125,21.875,6.435563124853407
180000,-169.1464949388319,89.60205638941375,110.0625,15.75,5.203052952885628
190000,-234.92907197879686,87.75037613195707,125.1875,23.25,5.080092427442538
200000,-190.58245672674093,92.14866358971292,114.25,23.625,5.218824818730354
210000,-215.84000495736836,92.7141858886037,110.25,30.875,6.828908409725857
220000,-136.25463187365676,85.86246458356489,97.9375,12.125,5.7929995422241
230000,-124.46852966319511,82.02986297918855,106.8125,14.75,4.91517305125219
240000,-201.70103028907943,90.89713603352561,117.0,29.625,6.375817269086838
250000,-200.19058540693368,87.84326137881555,120.875,27.75,6.65073276219699
260000,-159.43284280655644,91.61362888840466,109.25,22.25,4.85385029720235
270000,-257.0302595205285,94.49290503463713,134.625,25.875,5.305188243039519
280000,-177.14238740021392,88.92950425358087,115.375,23.125,6.965725409939788
290000,-194.04842878271302,89.05541773817339,112.6875,19.625,5.021240186836225
300000,-250.47038842213806,87.49970440479558,127.0625,27.125,4.292053669691086
310000,-371.94243063821705,64.44669736501238,92.0,15.875,3.6570829898118973
320000,-207.3798890110047,92.20429223840912,123.125,13.625,6.273758472027305
330000,-191.90404471415968,88.43607305228775,121.6875,17.875,5.203334855142878
340000,-49.467808370420244,75.05624914046533,85.3125,5.375,3.6805977655545847
350000,-286.91986470749544,85.91728759452442,109.0,18.125,6.595918340636466
360000,-147.83532801026013,86.3098514469064,103.6875,20.0,5.601909987218864
370000,-170.3358444210462,88.00105341722826,116.75,17.0,3.5705385635658997
380000,-251.00560800467792,96.70549166098243,129.875,23.875,4.482200442684038
390000,-193.5709793877827,95.91474873041916,122.4375,22.0,4.823285193177888
400000,-118.79901895753574,84.73709701714759,97.3125,6.0,3.7220578687200856
