#{"t_start": 1783930416.1586635, "env_id": "None"}
r,l,t
-1055.976368,44,3.531493
-365.370488,221,3.653826
-126.470697,203,3.942991
-553.804898,291,4.118984
-1009.19032,6,4.128933
-173.346149,218,4.250808
-562.316405,292,4.414236
-1034.729292,17,4.423215
-1019.999186,21,4.436007
-174.609642,222,4.558156
-1009.762865,7,4.561662
-1008.910531,7,4.566647
-1001.282827,9,4.572662
-1042.835407,53,4.602629
-578.113586,307,4.769299
-1049.818548,43,4.79196
-264.601487,313,4.955861
-194.214119,231,5.076147
-464.259832,256,5.207621
-1137.340825,77,5.242966
-1034.017401,17,5.251404
-1030.038914,16,5.259438
-1043.661987,44,5.28486
-544.672388,301,5.4333
-1028.498932,21,5.44302
-1017.600606,6,5.445768
-1034.462315,21,5.455902
-1090.542011,56,5.484314
-1329.713719,184,5.576074
-999.578981,6,5.579324
-1020.350824,18,5.590012
-1090.244339,68,5.624163
-274.491668,310,5.767385
-1089.642972,62,5.798249
-1112.098723,75,5.834653
-1015.740231,8,5.838441
-1015.975408,25,5.850371
-169.645773,229,5.958277
-1109.16738,66,5.989774
-1119.092078,84,6.031835
-1037.494902,19,6.040748
-999.625933,10,6.04622
-86.202351,172,6.127835
-480.978936,255,6.26501
-1018.173652,6,6.268578
-485.55895,264,9.703351
-418.541,320,15.169184
-1018.481986,6,15.267322
-1033.054075,7,15.382859
-1029.408654,8,15.530596
-1022.053479,5,15.63812
-1035.603641,8,15.795602
-1023.732546,5,15.888356
-1016.655185,4,15.952481
-1036.690152,10,16.131338
-480.719199,320,21.56492
-1024.357521,8,21.692163
-459.472147,320,27.672928
-775.754817,320,33.110761
-700.7837,320,38.791443
-635.797058,320,44.090883
-419.958046,269,48.787853
-276.085739,201,52.519002
68.145051,104,54.810876
-447.090831,295,60.230926
-507.645419,300,64.020967
65.797208,103,65.249283
-356.628563,218,67.886502
-440.866474,284,72.173995
-486.561063,261,75.257466
-334.628633,320,79.320182
66.985687,102,80.505072
-571.407782,320,84.600413
-466.211242,298,91.354808
-382.20687,320,95.133701
-475.360807,295,98.793656
-419.721468,262,101.867492
-571.497075,293,105.375261
-400.587927,252,108.785023
-283.652181,320,112.932857
-501.630456,291,116.953503
72.747717,101,118.247735
-393.661096,265,121.506747
61.726461,104,122.772656
-337.636207,226,125.516381
-352.905107,235,129.3077
-473.769943,281,134.696446
-309.047987,223,138.785746
-264.431289,235,142.933261
-344.789726,222,147.097227
50.941917,111,148.953386
-299.774437,226,152.968003
-414.051934,263,157.505973
-295.588341,225,161.339539
-324.877833,320,166.948555
-324.289406,241,171.028682
-342.758276,262,175.921662
-276.112497,320,181.488313
