timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-438.6226481597987,37.332057514321235,160.0,286.0,4.639033890696856
20000,-400.0905956372153,33.452964243518615,160.0,303.875,2.6344017153054615
30000,-362.84964209817554,36.34825253360139,128.25,212.375,3.10336960238793
40000,-436.25704091446823,34.02149345385787,160.0,294.625,2.862487395639287
50000,-429.68563155632,34.716775290690414,160.0,289.875,3.092553725830072
60000,-467.05693135911133,36.792188518884345,160.0,286.0,2.7753754607804257
70000,-468.0111921468342,39.36341421301249,160.0,281.0,3.5428411397121944
80000,-425.9794327701384,37.459334673580585,160.0,278.75,2.8334310610876026
90000,-419.6176312149619,38.26453353652778,160.0,269.375,2.4686680397133673
100000,-457.94092900303076,37.20873184507906,160.0,274.5,3.1133566617801565
110000,-299.3606914754437,35.608314793217,140.625,233.125,2.81884450448456
120000,-418.8627805680444,35.623295113603064,160.0,277.875,2.5875480081505806
130000,-377.5173835218302,35.94060755779854,160.0,273.75,2.1644978583530867
140000,-334.28357074303494,38.31913471130644,160.0,271.25,2.268461511834487
150000,-374.821852557885,40.33698021077018,160.0,269.125,3.03393086858343
160000,-418.16927138972096,36.00979964519017,160.0,273.5,2.5407826054018443
170000,-420.41795812081546,38.96154564693024,160.0,277.125,3.114651259793387
180000,-463.0652713207892,37.4499318404377,160.0,279.125,2.6468969802864777
190000,-368.4635431911447,38.03942758632154,160.0,265.625,3.230583267822118
200000,-457.36938115619705,42.28804133860402,160.0,269.375,2.823301529854322
210000,-242.58796329142206,43.8926668741208,160.0,255.875,4.526112715387322
