#{"t_start": 1783851291.1635005, "env_id": "None"}
r,l,t
-271.571301,119,0.08164
-243.364361,72,0.11374
-201.260184,7,0.116904
-976.793169,149,0.185919
-103.961556,236,0.280945
-202.970214,6,0.283882
-211.177244,7,0.287314
-218.668694,20,0.296515
-59.161225,214,0.38757
-248.351145,44,0.407113
-248.864202,97,0.447577
-202.36347,25,0.459666
-214.877224,6,0.462583
-207.745559,10,0.466997
-33.602605,169,0.535241
-213.649545,7,0.53839
-209.666719,8,0.542373
-65.389573,205,0.626658
-219.269427,21,0.63613
-223.608033,13,0.641977
-1050.897884,177,0.720052
-365.355554,47,0.74086
-715.695292,134,0.800763
-211.092635,22,0.810775
-1460.163565,292,0.936516
-847.941365,125,0.990671
-201.192312,8,0.994276
-218.753619,19,1.002655
-261.125848,34,1.017656
-252.993027,84,1.051608
-206.312305,5,1.053863
-202.442412,9,1.057729
-210.34891,19,1.066301
-215.398078,18,1.073936
-214.422951,10,1.078656
-429.005955,66,1.106981
-494.493895,111,1.15523
-322.816722,56,1.179696
-62.805882,172,1.249799
-205.764478,6,1.252639
-220.931549,14,1.259216
-213.307567,5,1.261584
-1049.436038,168,1.334482
-981.768571,143,1.394248
-73.780237,193,1.47197
-238.247692,29,1.484211
-331.808646,83,1.518616
-801.11492,149,1.582803
-393.110977,56,1.607115
-208.61452,8,1.610637
-421.318875,63,1.637112
-1208.706433,184,1.71527
-295.379971,144,1.774724
-858.759092,183,1.856217
-274.4251,115,1.903605
-225.713671,11,1.908581
-214.165578,14,1.915251
-218.932214,13,1.921448
-361.104772,74,1.953796
-202.829578,6,1.95653
-347.167056,89,1.996785
-207.103092,6,1.999629
-231.697297,36,2.014866
-201.861168,7,2.01794
-207.389275,19,2.026177
-509.813282,97,2.068561
-212.214707,18,2.076316
-220.536655,12,2.083062
-251.342683,93,2.120857
-323.80421,189,3.049233
-1648.614693,320,7.18334
-1859.320393,320,11.312624
-1822.855965,320,15.425854
-1878.977502,302,19.368455
-1415.433723,224,22.520573
-247.919051,320,26.668788
-1771.19889,320,30.788355
-998.083327,189,33.258704
-1493.502291,320,37.37923
-1295.303253,320,41.535913
-361.927964,320,45.654141
-309.728206,320,49.767572
-487.286597,224,52.857635
-1107.602051,309,56.858378
-987.339951,269,60.320498
-703.282419,232,63.308995
-405.833935,229,66.251831
-374.008404,320,72.697544
-265.915652,176,74.955014
-384.831788,195,77.443881
-660.564068,258,80.751147
-560.61592,223,83.868875
-358.612415,320,88.031524
-348.371899,320,92.181588
-376.402941,182,94.540274
-313.248059,186,96.939443
-423.102547,169,99.109553
-259.552211,216,101.892305
92.865099,106,103.239005
-262.472652,209,105.951797
-456.54944,221,108.813363
-279.341853,201,111.469699
-569.773895,202,114.240165
-526.594121,168,116.451577
-428.323326,178,118.759396
-442.292314,169,120.973895
33.50076,164,123.087366
-616.971107,287,126.792612
13.49604,164,128.927942
-450.1648,209,131.63977
-90.328122,196,134.237066
-333.992284,129,135.883257
-320.783338,201,138.480125
-691.825823,188,140.915032
-201.550713,4,140.965257
66.742818,145,143.733319
-62.87483,190,147.368516
-155.370939,235,150.853793
-464.627054,229,154.261095
-110.027008,185,157.66889
-96.63809,192,160.78641
-10.655246,209,163.609309
-56.587461,223,166.529405
-304.693039,264,169.971491
-416.122076,167,172.389874
-50.912591,191,174.903675
-306.560582,91,176.080686
-18.331152,174,178.567386
75.737976,109,180.212605
-204.699047,91,181.529332
-72.047333,241,185.994353
-243.662294,121,187.769764
-230.524487,122,189.423955
73.390497,111,190.913116
-387.587711,146,192.868539
-178.131004,227,196.050638
-251.380579,123,197.689276
-103.025796,219,200.647411
-49.158907,186,203.520648
-178.520736,259,206.997736
-338.236862,314,213.247754
-58.77054,208,216.052522
-293.318414,96,217.317886
-143.729136,230,220.360638
32.827303,151,222.385862
-338.59204,98,223.726402
-301.77849,250,227.049657
35.826903,158,229.118353
-91.009284,180,231.671323
-104.510022,185,234.299568
-371.607805,245,237.587798
-282.355531,105,238.975698
45.263046,148,240.965516
91.068213,121,242.546408
-309.446813,136,244.34566
-131.346387,160,246.500092
12.232159,170,248.770852
-129.810022,223,251.964245
-69.61973,225,255.066719
-288.643495,111,256.530253
-125.611493,249,259.841311
-243.904726,239,263.333913
72.574033,136,265.164685
-85.928327,191,267.738783
-10.162575,186,270.20572
-361.68911,254,273.611302
-267.022149,129,275.334556
-101.773755,211,278.123338
75.599076,136,279.959719
-294.91454,131,281.697818
-76.986652,206,284.562658
-271.313114,147,286.520966
-114.871047,231,289.609853
-49.410568,204,292.573855
-251.354291,129,294.37272
-198.018848,199,297.058774
-232.012018,127,298.748395
-292.252804,236,301.858276
-160.055364,280,305.731952
85.122237,135,307.52027
18.185487,166,309.710871
-251.16481,94,310.967952
56.299302,151,312.986325
-207.627654,75,313.995492
-72.497489,275,317.608038
-215.235135,86,318.761708
78.955791,131,320.490942
70.025707,141,322.557448
-244.282961,131,324.340486
-209.085643,246,327.644591
-250.618564,118,329.34739
-31.997073,205,332.10587
-227.776518,119,333.694356
-231.379589,82,334.816351
-7.400878,202,337.49093
-104.891176,256,340.940352
-122.497826,250,344.293281
-41.278092,232,349.366001
4.465306,166,351.666286
-76.466598,239,355.061367
-245.297635,152,357.073876
-305.854119,150,359.067492
-247.62405,171,361.356661
-203.471225,13,361.53467
