timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-199.70349937317224,81.00586867778655,122.125,18.75,9.814672231674194
20000,-161.1803435023321,79.19440489270885,106.875,7.875,8.625450778452283
30000,-101.7003278652337,81.3285906234354,111.0,8.25,8.663846347813301
40000,-98.63228568763589,89.38003066218603,109.9375,5.875,7.727713092438096
50000,-141.18466857430758,91.57968854832606,119.5,8.75,8.798469170928001
60000,-72.30895229271482,86.6717059418942,113.1875,7.25,8.179563194513321
70000,-106.51401341587189,91.55608627818879,124.625,4.875,7.591192412000949
80000,-141.16186385655237,98.96708585006296,122.25,17.0,8.821966573596
90000,-124.07500716727043,90.49108480155351,120.3125,4.5,7.553111031651497
100000,-84.26118230154316,90.98472221196549,121.0,7.0,7.297841504216194
110000,-53.77908723249857,77.21208218655927,100.125,6.0,7.23118294991392
120000,-105.13933562380919,87.45927628243582,111.125,7.125,8.095150873064995
130000,-29.3203240691073,76.3628690368765,102.75,0.625,7.071934998035431
140000,-68.69500635424629,81.51000500593267,111.375,8.125,6.498077839612961
150000,-41.49641868731487,84.66397108791821,111.6875,4.625,6.968313306570053
160000,-94.63532434827357,81.90197834360399,109.5,5.625,6.762402728469258
170000,-51.61845290639758,74.23473347966149,103.3125,9.25,5.456404700875282
180000,-88.03859367010591,85.68926486973076,105.4375,9.75,8.275107711553574
190000,-16.325758133527415,75.8753865778651,91.125,2.0,5.453789241649321
200000,-102.8725175575064,83.95507643544686,111.0,5.5,8.287277106415306
210000,-9.03098155448697,71.4007624585706,93.4375,0.125,5.913851097226143
220000,-19.99573132336809,71.65972553565796,96.3125,6.5,6.596228057943101
230000,-13.965025242156116,73.37303244894119,103.4375,0.875,5.881231501698494
240000,-79.86621819068387,88.39599650687249,116.375,9.125,8.189559623599052
250000,-35.60868878864858,80.49521229963318,93.3125,4.375,5.960818121515787
260000,-14.700160584347032,69.77941720676941,92.0625,5.375,5.750484123826027
270000,-10.971525644315989,71.61396197479854,99.125,1.875,5.458676174283028
280000,-53.751308737166255,82.13861290264379,113.3125,2.375,8.456242331927943
290000,-114.40193694678601,90.03835048116424,124.625,10.75,8.18648923933506
300000,-47.184275681231156,86.33056685383978,110.625,5.75,7.589841309853716
310000,-63.732333474763436,82.06257746652392,113.375,6.125,6.313862871664744
320000,-35.16763423464545,75.38389891942765,101.875,8.875,5.334089279174805
330000,-45.842592309682004,80.32656466281317,105.5,7.75,6.435054913163185
340000,-39.44405211477715,80.48017651577108,103.625,8.875,5.875795311000613
350000,9.56161708190848,73.31820382343615,88.3125,1.5,5.725601062178612
360000,-76.5800247689258,85.38231448296101,113.0,2.625,7.19053316116333
370000,-22.37088827387106,67.40216029046131,96.4375,6.0,5.913632974028587
380000,-46.09504575179017,72.34320419178009,97.875,7.125,7.016568078450771
390000,1.0882983392948518,69.42393288103727,99.0625,1.875,4.3593456139916285
400000,-2.2059137811302207,65.27890692501057,91.1875,3.375,5.451150897354449
