policy_seed,scenario_seed,base_arrived,base_red_run,base_collision,sac_arrived,sac_red_run,sac_collision,both_arrived_guarded,fuel_base_guarded_mL,fuel_base_unguarded_mL,fuel_sac_mL,fuel_delta_pct_vs_guarded_baseline,fuel_delta_pct_vs_unguarded_baseline,both_arrived_unguarded_baseline
0,500,True,False,False,True,False,False,True,94.34389713838668,90.96741430957307,79.54102508066487,-15.690333457402636,-12.560969568754397,True
0,501,True,False,False,True,False,False,True,73.20227318358677,72.57237759033545,79.33053057005696,8.371676342756333,9.31229374607331,True
0,502,True,False,False,True,False,False,True,69.29429291620202,69.29429291620202,63.2301814544911,-8.751242283465228,-8.751242283465228,True
0,503,True,False,False,True,False,False,True,86.74540399723229,84.20448754877248,82.80162474462962,-4.546384097454313,-1.6660190507427497,True
0,504,True,False,False,True,False,False,True,76.96755817166375,75.71020644379276,67.90301293600302,-11.777098625688138,-10.311943229986822,True
0,505,True,False,False,True,False,False,True,73.37818887366862,72.78309225456782,75.77555390233647,3.2671357326565618,4.111479129386461,True
0,506,True,False,False,True,False,False,True,95.21093866562993,78.70518137800808,73.0920154647259,-23.231493682236643,-7.131888669848887,True
0,507,True,False,False,True,False,False,True,93.30223975901038,90.94953271831372,93.99535025751644,0.7428658736342109,3.3489094975739286,True
0,508,True,False,False,True,False,False,True,75.96053163256458,75.96053163256458,54.51499643411741,-28.232471176193545,-28.232471176193545,True
0,509,True,False,False,True,False,False,True,84.45837498680223,81.90875588058957,70.62477695689398,-16.379190378775267,-13.776279229714952,True
1,500,True,False,False,True,False,False,True,94.34389713838668,90.96741430957307,81.74946785192999,-13.349490182690642,-10.133240048214736,True
1,501,True,False,False,True,False,False,True,73.20227318358677,72.57237759033545,69.50802166109472,-5.046634977068401,-4.222482480233385,True
1,502,True,False,False,True,False,False,True,69.29429291620202,69.29429291620202,58.52388609140942,-15.542992606645564,-15.542992606645564,True
1,503,True,False,False,True,False,False,True,86.74540399723229,84.20448754877248,77.49514512017664,-10.663687585512637,-7.967915516034324,True
1,504,True,False,False,True,False,False,True,76.96755817166375,75.71020644379276,61.61202676659934,-19.95065423644644,-18.62124056901086,True
1,505,True,False,False,True,False,False,True,73.37818887366862,72.78309225456782,59.26190709789077,-19.237708088000254,-18.577371114413552,True
1,506,True,False,False,True,False,False,True,95.21093866562993,78.70518137800808,83.99877299229847,-11.776131850466589,6.725848948706617,True
1,507,True,False,False,True,False,False,True,93.30223975901038,90.94953271831372,81.44330537922171,-12.710235478182529,-10.452200308202157,True
1,508,True,False,False,True,False,False,True,75.96053163256458,75.96053163256458,51.311170485458014,-32.45022199994621,-32.45022199994621,True
1,509,True,False,False,True,False,False,True,84.45837498680223,81.90875588058957,70.15283756483458,-16.93797379383996,-14.352456204918203,True
2,500,True,False,False,True,False,False,True,94.34389713838668,90.96741430957307,82.48461420363464,-12.570270356074506,-9.325097531155988,True
2,501,True,False,False,True,False,False,True,73.20227318358677,72.57237759033545,70.0078045646949,-4.363892649727346,-3.533814256599584,True
2,502,True,False,False,True,False,False,True,69.29429291620202,69.29429291620202,59.16503582198843,-14.617736422338504,-14.617736422338504,True
2,503,True,False,False,True,False,False,True,86.74540399723229,84.20448754877248,84.59528096610684,-2.47865930879064,0.4641004638951237,True
2,504,True,False,False,True,False,False,True,76.96755817166375,75.71020644379276,64.82363058553679,-15.77798214546691,-14.379271130819275,True
2,505,True,False,False,True,False,False,True,73.37818887366862,72.78309225456782,72.70610233840311,-0.9159214005984844,-0.10577994666044742,True
2,506,True,False,False,True,False,False,True,95.21093866562993,78.70518137800808,74.76621151112599,-21.473086434221084,-5.004714807737833,True
2,507,True,False,False,True,False,False,True,93.30223975901038,90.94953271831372,89.67860173317557,-3.883763171381817,-1.397402435342292,True
2,508,True,False,False,True,False,False,True,75.96053163256458,75.96053163256458,46.81713711929845,-38.36649624075596,-38.36649624075596,True
2,509,True,False,False,True,False,False,True,84.45837498680223,81.90875588058957,68.89871778231108,-18.42287068265587,-15.883574299730704,True
